iter	Passed	Remaining
0	193	125328
1	309	100418
2	386	83410
3	462	74708
4	546	70515
5	590	63406
6	641	58943
7	712	57196
8	789	56247
9	867	55501
10	956	55544
11	1035	55065
12	1131	55429
13	1209	54949
14	1309	55421
15	1382	54785
16	1484	55290
17	1543	54205
18	1639	54439
19	1742	54891
20	1831	54860
21	1911	54574
22	1979	53951
23	2062	53807
24	2166	54160
25	2248	53966
26	2344	54090
27	2428	53952
28	2522	54024
29	2609	53927
30	2701	53947
31	2786	53823
32	2870	53677
33	2968	53775
34	3052	53642
35	3154	53808
36	3258	53991
37	3341	53819
38	3429	53726
39	3535	53916
40	3624	53834
41	3719	53840
42	3799	53634
43	3891	53594
44	4000	53778
45	4100	53844
46	4202	53914
47	4299	53918
48	4413	54138
49	4505	54070
50	4600	54028
51	4664	53639
52	4758	53603
53	4873	53785
54	4973	53805
55	5068	53760
56	5175	53843
57	5292	54018
58	5398	54077
59	5502	54112
60	5603	54107
61	5699	54049
62	5802	54063
63	5900	54030
64	5996	53969
65	6105	54028
66	6207	54014
67	6291	53851
68	6405	53936
69	6514	53977
70	6612	53927
71	6701	53800
72	6797	53726
73	6909	53778
74	7008	53730
75	7108	53689
76	7209	53648
77	7307	53591
78	7408	53550
79	7489	53365
80	7592	53332
81	7705	53376
82	7824	53449
83	7897	53213
84	8011	53254
85	8124	53281
86	8237	53305
87	8324	53164
88	8437	53182
89	8547	53186
90	8643	53093
91	8733	52973
92	8845	52975
93	8941	52890
94	9054	52895
95	9177	52963
96	9293	52982
97	9395	52924
98	9511	52936
99	9614	52878
100	9708	52770
101	9796	52631
102	9889	52521
103	9978	52385
104	10085	52348
105	10195	52326
106	10303	52285
107	10395	52172
108	10503	52129
109	10628	52177
110	10729	52101
111	10824	51997
112	10940	51991
113	11048	51947
114	11143	51843
115	11260	51836
116	11361	51757
117	11441	51584
118	11515	51385
119	11610	51280
120	11718	51232
121	11811	51119
122	11910	51031
123	12028	51025
124	12109	50859
125	12233	50874
